Title,URL,Address,Compensation,Employment Type,Description
Insurance Inspector - Commercial,https://newyork.craigslist.org/que/egr/d/new-york-insurance-inspector-commercial/6994731177.html,5 Boroughs and Long Island,Higher Fees - Per Inspection - No limit on earnings  - Payday is the 10th & 25th each month,part-time,"
        
Millennium Information Services is looking for Property Insurance Inspectors in the five Boroughs and Long Island. This is a great opportunity for early retirees, firemen, and Realtors.

The Inspector will be responsible for conducting commercial insurance inspections. Direct and related experience highly preferred. 

You will need the following items to begin: 

- A dependable, fuel efficient vehicle with current insurance. 
- A digital camera (10X optical zoom minimum). No cell phone cameras or tablets. 
- A 10-12 inch measuring wheel. 
- A 5-6 foot extendable camera pole. 
- A Windows computer with high speed internet. 

The ideal candidate must be able to deal with a variety of people effectively, present themselves in a professional manner, communicate effectively both written and verbally, and have an aptitude for evaluating, analyzing and interpreting information. The ideal candidate must also be able to work independently utilizing effective time management and organizational skills to meet deadlines (you must be available to perform inspections on weekdays during daylight hours). Must be able to navigate and use computer systems and applications, including internet and email. 

Full online training is provided. 

The more inspections you complete, the more you earn. We pay via direct deposit on the 10th and 25th each month as a 1099 Independent Contractor.

Direct Apply:      "
Earn up to $17/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/brk/egr/d/brooklyn-earn-up-to-17-hr-deliver-with/6994683895.html,Park Slope-Downtown,Per order fee + mileage + 100% tips,contract,"
        

        
    "
Earn up to $18/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/que/egr/d/woodside-earn-up-to-18-hr-deliver-with/6994772551.html,Astoria-Long Island City,Per order fee + mileage + 100% tips,contract,"
        

        
    "
Architect with 2 to 12 years Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-with-2-to-12/6994778843.html,Midtown West,Commensurate upon experience and licensure.,full-time,"
        
An established award winning Manhattan firm with a broad residential, commercial and institutional portfolio is looking for a talented creative addition to our office.  We are known for our distinctive modernist designs as well as historic sensitivity in renovations of landmark buildings.  

Qualifications, Skills & Responsibilities Candidate should possess the following:

Minimum of 2 to 12 years of professional experience with similar projects.
Licensed Architect a plus. Professional degree a must.
Proficiency in AutoCAD and REVIT a MUST 
Photoshop, knowledge and InDesign.
Knowledge of the design process and resources, construction documentation and  specifications, 
Must be problem solver, motivated, take initiative, with strong work ethic, able to work independently and in a collaborative team setting, well organized and detail-oriented, capable of taking direction and willing to learn.
Must be a tri state resident and a fluent English speaker and writer. Valid US social security card, green card or work visa required. Please be prepared to provide documentation.
Please include in subject line ""Architect Code 309"" otherwise we will disregard email.

Salary Range
Commensurate upon experience.
    "
Earn up to $24/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/mnh/egr/d/new-york-earn-up-to-24-hr-deliver-with/6994678021.html,Manhattan (South) - Lower Manhattan,Per order fee + mileage + 100% tips,contract,"
        

        
    "
Field Assistant,https://newyork.craigslist.org/que/egr/d/mastic-field-assistant/6994800095.html,Shirley,Commensurate with experience.,employee's choice,"
        
We are looking for a field assistant. 

Must love the outdoors.

Training can be provided for Potential Candidate.

Computer knowledge a plus.

NYS Driver's license required.

Candidates must be available to start immediately. Motivated individuals are encouraged to apply.

Starting salary $18 an hour. 

Must be authorized to work in the US (US Citizen, US resident, or US Authorization card required).

    "
Senior Healthcare Designer/Studio Director,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-healthcare-designer/6995200735.html,Midtown West,salary commensurate with experience,full-time,"
        
SBLM Architects is currently seeking a Senior Healthcare Designer/Studio Director. 
Candidate must display excellent creative and visual presentation skills along with good communication and management skills.

Job Responsibilities:
•	Manages design process for entire project; leads/directs the work of other designers and technical staff
•	Defines program requirements and establishes design parameters based on client requirements
•	Creates and develops overall design concepts, formulates design presentation strategies and makes compelling presentations
•	Manages design team members during the implementation of design to ensure the intent and quality of concept is maintained throughout project delivery
•	Manages client interaction and decision making related to design
•	Monitors project budget and schedule related to design team efforts
•	Participate in business development and marketing activities

Requirements:
•	Applicant should have a minimum of 5 years of experience and be proficient in AutoCAD.
•	Applicant should have a thorough understanding of Healthcare programming, conceptual layouts, equipment planning and material & finish selections. 
•	Applicant should have working knowledge of graphic rendering programs including 3D Studio Max, Photoshop and Sketch Up.
•	Bachelor Degree in Architecture or BS in Architecture Tech. is required.

Compensation and Benefits:
•	We offer an excellent benefits package, creative and innovative work environment. 
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational programs.

Interested candidates should forward their cover letter and resume
    "
Project Manager- High Rise Residential & CommercialDevelopment,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-high-rise/6995810739.html,"New York, NY",Dependent on experience level,full-time,"
        
Established globally renowned architecture practice, seeks staff a Project Manager to join its New York office. Will be exposed to a range of work, including but not limited to, high rise residential, hotel and other high design intent, high budget commercial mix use projects. 
Will work on a team and lead others in producing high quality built projects in NYC. 
Schematic design to construction administration. 
Experience with Revit and AutoCAD.
8+ years experience working in a professional architectural setting.    "
Auto Cad Drafter SOLAR,https://newyork.craigslist.org/que/egr/d/inwood-auto-cad-drafter-solar/6995316272.html,inwood,TBD,full-time,"
        
Growing solar company looking for auto cad drafters.    "
FREELANCE Technical Designer / Architectural Draftsman,https://newyork.craigslist.org/mnh/egr/d/new-york-freelance-technical-designer/6995319732.html,,please offer your rate per hour,part-time,"
        
Italian millwork company in Manhattan is looking for a Technical Designer / Architectural Draftsman for freelance work. Kitchens are the main product we sell, but we also offer wardrobes, bathroom vanities, bookcases and custom millwork items. 

Qualifications
-Minimum of five years experience, preferably in the field of high-end residential design
-Strong Autocad expertise 
-European kitchen cabinet experience
-Familiar with use of metric system

Responsibilities
-Review architect or designer’s plans and develop shop drawings working with company's standards
-Produce detailed drawings for presentation to clients, and technical drawings for manufacturers and installers
-Work closely with sales person to ensure that the drawings convey the correct information
-Revise drawings as necessary to meet all standards
-Use industry drawing standards as guidelines

Hours could vary month to month. This is not a full-time position. Good for extra side income.
Please state your rate per hour in an email, attaching your resume and portfolio.
Thank you.    "
Award winning Design firm seeking Design Intern,https://newyork.craigslist.org/mnh/egr/d/new-york-award-winning-design-firm/6995382341.html,Midtown,"Transportation costs reimbursed , food, and will lead to paid position",part-time,"
        
We are a small,  high end interior design + build firm seeking a part-time Interior Design intern 2-3 days per week. This is an unpaid, entry level position with great opportunity for a design student looking to gain valuable field experience and lead to a paid position. Transportation will be reimbursed. 

Seeking motivated, bright, and responsible individuals with:

• Strong communications skills
• Working towards or possess a bachelor and/or master degree in Architecture
• Detail oriented and organized
• Ability to work independently
• Willing to learn
• Skilled in Collaboration and able to take Direction from the Team


Responsibilities:

•	Develop projects from schematic-design, design development, construction documents to construction coordination
•	Develop design concepts, sketches, layouts and design presentations
•	Manage workflow of projects, organize and maintain records. 
•	Develop construction documents from design drawings and under supervision of senior staff
•	Research, analyze and implement zoning and building code requirements
•	Coordinate and develop details based on construction documents
•	Coordinate throughout the DOB plan examination process to coordinate approvals.
•	Construction site visits to review progress as well as to create as-built plans and drawings.


We are a small, high-end interior design firm seeking a part-time Interior Design intern 2-3 days per week. This is an unpaid, entry level position with great opportunity for a design student looking to gain valuable field experience and lead to a paid position. Transportation will be reimbursed. 


Required Skills:

•	Professionalism
•	Good communication skills for phone and email correspondence
•	Ability to Multi-Task 
•	Self Starter
•	Organized 
•	Currently Studying Architectural/Interior Design 
•	Microsoft Office 
•	Auto-Cad, Sketch-Up, Photoshop Experience a Plus!
•	Portfolios Welcomed
•	Familiarity with NYC Zoning and Building Codes is a plus.

Currently working on multiple NYC restaurants,  and immersive entertainment design.

www.avivacollective.com

www.4fronthospitality.com





    "
EXPERIENCED ARCHITECT/ DRAFTER,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6995460282.html,QUEENS,BASED ON EXPERIENCE,full-time,"
        
LOOKING TO HIRE EXPERIENCED ARCHITECT/ DRAFTER MUST KNOW AND BE ABLE TO DO NYC  ZONING CALCULATIONS,  CODES REVIEW  AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH  DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must be able to manage multiple projects EMAIL YOUR RESUME.    "
Junior Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect/6995844833.html,Lower East Side,hourly,full-time,"
        

Small Architectural / Interior Design firm located in the Lower East Side, specializing in residential and commercial projects, seeks a junior architect. Work will consist of assisting in all phases of schematic design, design development, preparation of DOB drawings and applications, construction documents, construction site visits, archiving, material sourcing, specifications, presentations and general office activities. 

Candidates must be highly motivated, quick learners, with a passion for architecture and desire to learn and grow. Excellent AutoCAD drafting abilities and 3D rendering skills are a must. Candidates must be responsible, organized, punctual, reliable, have good communication skills, and be team-players, capable of multi-tasking and focused on producing accurate results.  
 
Please send:

1.	pdf samples of your work and include a brief description of your role in the work presented
2.	a cover letter and your resume 
3.	indicate your availability
4.	indicate your hourly fee requirements
    "
Architectural Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/6995347541.html,Midtown West,salary commensurate with experience,full-time,"
        
SBLM New York office looks for a highly motivated Job Captain who is a team player with excellent REVIT skills. Ideal candidate will be a well-organized, detail-oriented individual who is accustomed to working on and leading the production of multiple projects. 

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters, as required by the project
Produce deliverables without requiring constant supervision
Coordinate meetings with consultants
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor’s Degree in Architecture
3+ years’ experience in an Architect’s office working on Commercial/Retail projects
Must be proficient in Revit and other applicable industry software is a must
General understanding of codes and zoning
General knowledge of building details and construction process
Positive attitude and driven to succeed

Compensation and Benefits:
•	We offer an excellent benefits package, creative and innovative work environment. 
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Salary commensurate with level of experience
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational programs.

Interested candidates should forward their cover letter and resume 
Please include Job Captain in the subject. No phone calls, please
    "
Architecture Internship,https://newyork.craigslist.org/wch/egr/d/architecture-internship/6995859145.html,Elmsford,Salary will be directly related to ability and performance.,full-time,"
        
We are a Small Architectural Firm located in Elmsford, NY seeking a motivated and responsible individual who is working towards or  possesses a bachelor and/or master degree in Architecture with prior office experience. Our firms primary work is in multi-family residential and commercial spaces. 


Skills and Qualifications:

• Detail oriented
• Organized
• Strong communications skills
• Able to work independently and meet deadlines
• Able to take Direction from the Team and work collaboratively

Software Requirements:

•Required: Proficiency with AutoCAD and MS Office: Word, 
•Not Required but Preferred: Proficiency with MS Office: Excel, Adobe: Photoshop and/or Illustrator and 3D Computer Rendering 

Application Requirements:

The ideal candidate will be a resident of this area with a vehicle to travel independently to job sites. Interested candidates should e-mail a cover letter, work examples and resume. Resumes must include a phone number and the city/town of residence. Candidates must already be authorized to work in the US. 

Contact by email only at Intern@RJStahlArchitect.com.

Salary will be directly related to ability and performance.

Employer Web Site: www.rjstahlarchitect.com


    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6995958864.html,Midtown,Competitive Salary,full-time,"
        
GF55 Partners (www.GF55.com) seeks a talented and motivated full time Intermediate Architect for its NYC Office. Enjoy a stimulating and challenging team work environment with a variety of significant projects.  The position requires strong design, analytical and communication skills to interact with colleagues, clients and consultants.  GF55 offers an environment where professional growth and development is encouraged.
GF55 seeks excellence by a collaborative search for the best solution in the creation of architecture 

Skills Required 
•	Revit, Cad, Sketchup, Photoshop, In Design and MS Office Suite
•	Strong Analytical skills, and good follow through 
•	Ability to collaborate and work independently 
•	Bachelor's Degree in Architecture or higher
•	Authorized to work in the US
•	1-3 years of relevant experience 

Compensation commensurate with qualifications. GF55 pays a competitive salary with benefits. 

Include in your application:
•	Cover Letter
•	Resume 
•	Work Samples
    "
Junior Level Interior Designer | Hotels,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-level-interior-designer/6995964867.html,Chelsea,50-60K,full-time,"
        
Title: Junior Interior Designer | Hospitality
Full Time
Position Description:
Junior Designer to assist with many hospitality projects in supporting the senior leadership. 
Expand your experience in the following while learning and growing.
-Design Development 
-Developing furniture drawings (experience required).
-3D modeling.
-Rendering.
-Creating mood boards.
-Revit drafting.
-FF&E specifications.

Requirements in order to be considered: 
-Experience developing detailed custom furniture drawings is required.
-A Revit, Photoshop and InDesign portfolio, documenting your professional interior design firm experience.

Required Education:
B.F.A. in Interior Design, B.S. Interior Design or above.    
Salary: 50-60K, Depending upon level of experience.    "
Architect 3-10 Years' Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-3-10-years/6995978951.html,NEW YORK,Negotiable,full-time,"
        
Terrence O'Neal Architect LLC and TONA | ACB Architects seek project manager-level individual for design and construction documents for varied projects for local universities, airport work, and K-12 schools. The ideal candidate will have the following qualifications:

1. Accredited Degree in Architecture: B.Arch or M.Arch from a NAAB-accredited school.
2. 3-10 years' NYC experience minimum
3. Ability to handle all phases from design through construction documents
4. Knowledge of Revit a plus (but not required)

Please send a cover letter specifying how your qualifications match the requirements of this position,
along with a resume and project samples. No calls please.    "
Estimator / Assistant Project Manager,https://newyork.craigslist.org/que/egr/d/estimator-assistant-project-manager/6996067871.html,,Based on experience,full-time,"
        
Job Description:

We are looking for a Project Manager/Estimator available to directly work for Construction General Contractor's Office in Corona NY.   We specialize in Commercial and Residential Renovations. 

The Position: Daily Job Duties include: 

Construction Contract Administration & negotiations with valued subcontractors for buyout.  
Preparing and ensuring Construction Schedule is met from Permit through signed Punch list.
Close and Warranty work when applicable.  
Direct support and involvement in the Estimating / Quantity Take-off and the Request For Proposal Process including obtaining and Qualifying rec'd proposals is also part of the job.

This Project Manager position will require Daily Job Awareness, juggling multiple priorities, organized interaction with the Field representatives and Professional updates with our  Special and often Demanding Customers in a very fast paced environment. 


Personal Characteristics:
Develops, maintains and fosters a positive ""can-do"" attitude concerning the job and our company with both customers and fellow employees
Initiates and promotes teamwork concepts.
Develops, improves and maintains communication skills with others.
Develops and understands systems of priorities and time management. 
Utilizes time appropriately.
Develops and initiates improvements to company business methods and practices.
Ability to stay calm during busy hard working stressful periods
For consideration, please send resume of Project Management Experience specifically regarding detailed Commercial Construction, Scheduling and Estimating abilities to us for review and consideration.


*We are an Equal Opportunity Employer

Job Requirements
Skills & Abilities:
Knowledge of Project Management, estimating and Construction Management software (Timberline, On-Screen Take-Off)
Detailed Take-off organization, accuracy and consistency
Knowledge of Labor output and Labor rates and how they vary by job and location.
Knowledge of material costs and variations caused by time constraints
Understand specific and industry-related construction specifications
Ability to cost and price non-standard construction details
Develop and understand job specific comprehensive Scopes of Work to Schedule accordingly
Ability to foster and promote customer relationships.
Strong Letter Writing skill set
Innovative Problem Solving
Excellent Follow Up Skills
 
Qualifications:
Bachelor's Degree (or equivalent) for Construction Science or related field of study
Working knowledge of Microsoft Office products; specifically Outlook, Word and Excel
Proficiency with reading construction plans, specifications and vendor product data information
Familiarity with construction project delivery methods and practices
    "
Freelance/Architectural Draftsman,https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-architectural/6996109670.html,Brooklyn,Compensation commensurate with experience,part-time,"
        
New York City Company seeking an Architectural Draftsman for freelance work. Architectural compliance and expediting are our main services but there are other opportunities

Qualifications
• Minimum of five years experience
• Knowledge of and proficiency in applying NYC Building Codes and Zoning provisions
• Self-directed, organized, and able to work with minimum supervision
• Ability to adjust work schedule to meet deadlines

Software Requirements:
• Strong Autocad expertise 2010 or later
• Proficiency in Microsoft Office Suite
• Adobe
• Photoshop
• Illustrator a plus

Tasks include, but are not limited to:
• Navigating the Department of Buildings filing system and procedures
• Research and analyze code provisions relevant to project
• Analyze drawings to ensure code and zoning compliance
• Revise drawings as necessary to resolve building code & zoning objections
• Use industry drawing standards

Please Note:
• This is a part-time position and project based
• Hours vary

Include in your application:
• Cover Letter
• Resume 
• Work Samples
    "
Construction Estimator,https://newyork.craigslist.org/que/egr/d/construction-estimator/6996125477.html,NYC,Competitive salary,full-time,"
        
Construction Estimator/Project Manager

Established NYC based Construction firm seeks self-motivated energetic individual with minimum 10 years' experience to join our team.  

Duties Include: Preparing detailed take-offs and estimates, analyzing architectural drawings, developing scope of work, preparing formal proposals, attend meetings and walk throughs, solicit bids from subcontractors and vendors, manage projects, cost control, submittals and scheduling. 

Candidate must have thorough knowledge of computer programs especially Excel, Word, Planswift and MS Project and possess strong analytical and communication skills with an eye for detail.

BA/BS in architecture or engineering preferred.  Drawing, sketching and Auto CAD proficiency a plus.

Competitive salary and benefits package.
    "
CAD drafter,https://newyork.craigslist.org/mnh/egr/d/new-york-cad-drafter/6996130014.html,Midtown,"45,000.00-50,000.00",full-time,"
        
Job Description
MEP Consulting Engineering firm is looking for a full time CAD drafter to join our team. We are currently a 20+ person firm looking for a full time drafter.

Must be proficient in AutoCAD, although some knowledge of REVIT is a plus. Must be familiar with layering, x references, model/paperspace, and at least a beginning knowledge of Microsoft word and excel.

Excellent communication skills are a must.

This is a full time, in house position. Telecommuting, part time work, and 3rd party outsourcing will not be considered.

Job Type: Full-time

Salary: $45,000.00 to $50,000.00 /year    "
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6996135195.html,New York,Compensation commensurate with experience,full-time,"
        
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.
Qualifications:
•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.
Work description:
•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.
    "
Jr. Architect / Drafter,https://newyork.craigslist.org/mnh/egr/d/new-york-city-jr-architect-drafter/6996140859.html,Midtown East,"$40,000 - $60,000 (Depending On Experience)",full-time,"
        
Jr. Architect / Drafter

Small Manhattan Design Firm Seeks Jr. Architect / Drafter with 3 - 5 Years Experience in High End Residential (Apartments and Townhouses). License not required

The position of Jr. Architect / Drafter- will work alongside experienced senior architects providing support in design and field applications. Highly motivated individual with a strong work ethic and commitment to work in a team environment in the office as well as in the field. 

• Experience with townhouse design 
• Knowledge of NYC Building Code and Landmarks requirement
• Knowledge of construction drawings and specifications
• Proficiency with vectorworks design program (6 months minimum) and Mac computers

The position will provide considerable exposure to clients and requires excellent communication and project management skills. 

William Leeds Architect is an equal opportunity employer and offers competitive salaries.

For immediate consideration, please email a cover letter, resume, and salary requirements
    "
PE or RA,https://newyork.craigslist.org/que/egr/d/long-island-city-pe-or-ra/6996449586.html,nyc,above industry standards 110k-125k plus benefits,full-time,"
        
Required is NYS RA or PE, (EIT considered)
You may come from any structural, mechanical, architectural or any other relevant PE or RA sub discipline. If you are looking for a position which supports design, but does not have you at a computer 8 hours a day, this is that position. 
We are offering $120k+- plus benefits, for experienced professionals. Exact offer to be discussed at interview. 

We are a mid sized Professional Corp., located in LONG ISLAND CITY, Queens, we provide contractor support for a wide range of NYC DOB required submissions (EQ, DM, SOE, STRUCTURAL STABILITY), as well as architectural, egress, zoning and filing submissions. 
(We are NOT a special inspection agency, we are a highly regarded design firm that supports contractor code requirements)

We need PE/RA to attend inspections, agency mtgs, and also assist in design and filing projects. This involves being based in our office, but frequent visits to many sites, meeting clients, agency representatives, and responding to emergencies.

-Our contractor support design engineering firm is in need of a FIELD ORIENTED NYS RA or PE for flexible shifts, TYPICAL DAY varies from 9-5 to noon-8PM. Due to the reality that the majority of our NYC School Construction Authority contractor clients typically work afternoon/evening shift, we are in search of a field oriented PE/RA to attend scaffold, sidewalk shed, shoring inspections during stated hours.

-You will also be asked to attend SCA and DOB plan exams when inspections not scheduled, as well as responding to objections from plan exams. On days without field work, hours can be 9-5 or 8-4. Flexibility required, employee preference considered. 

Required is a valid NYS RA or PE license. 
Required is an ability to represent well and communicate well with professionals and nonprofessionals. 
Required is an ability to visualize load paths for all components and connections. 
Required is an ability to quickly get report data to our central office, and out to clients.
Required is an ability to efficiently climb ladders and scaffold. 
You will be commuting all over the 5 boroughs, efficiently routed with the help of our scheduler. 
The use of subway, citibike, as well as car travel (private or  share) is strongly encouraged, required for time management in our congested city.  

You will not be required to perform heavy calculations or design services, but, this ability is a plus. 
You do not need shed or scaffold inspection experience, as you will receive training as necessary from our principal PE.
You will need to become intimate with NYC building code chapter 33, as well as many other relevant sections, if not already familiar.
You do not need autocad experience, but also is a strong plus.

This position can be filled by an RA or PE with any amount of years of experience.
WE ARE OPEN TO CONSIDERING HARD WORKING APPLICANTS WITH MORE EXPERIENCE, AND WILL COMPENSATE ACCORDINGLY.
Even though the work hours are swing shift, this is a 40+- hour week job offer, not a consultancy structure.

BENEFITS:
As well as competitive salaries, we offer employer contribution in health/dental care, 401k matching saving plan, weekly employer sponsored team building lunch, in-house continuing ed (as part of our IAS accredidation), and basically an all around rewarding time producing highly respected products!

For consideration: Please provide resume which shows work history and job durations.
In cover letter, please state your salary range requirements, and anything you would like us to know about why you think you are a good candidate. 
 Please include resume in body of email or as pdf. Please do not send word docs. 

Good Luck in your job search! We have immediate availability.    "
Civil Engineer/Student Wanted - Entry Level Position,https://newyork.craigslist.org/que/egr/d/civil-engineer-student-wanted-entry/6996568213.html,Astoria,To be discussed,full-time,"
        
Looking for a worker at a construction company based in Astoria:
Job opening for a Civil engineer, at entry level position. 
We will provide comprehensive on the job training.

Requirements are as follows: 
Team work, 
Must be able to elaborate bids and estimates, 
Must be able to generate and read blue prints, 
Must be able to work under pressure and meet all deadlines.
AUTOCAD great plus.

Please email resume.
    "
Expediter/Assistant Project Manager,https://newyork.craigslist.org/que/egr/d/queens-village-expediter-assistant/6996820646.html,Queens Village,$50k+ depending on experience,full-time,"
        
We are a Construction / Remodeling firm in Queens and are currently seeking a full-time Assistant Project Manager who has experience with NYC DOB. This is a wonderful opportunity for someone who is a punctual, reliable, team player with a good work ethic and who enjoys a rewarding and fast-paced work environment.

APM Responsibilities are:

• Process DOB filing sign-offs
• Prepare formwork for and obtain initial DOB Work permits
• Track projects, communicate permit expiration with clients and renew permits
• Establish safety registrations and general superintendent registrations
• Track and Renew contractor insurance
• Assist PMs as needed for management of C.O. projects
• Assist with DOB Now Filings

Key requirements:

• Proficient with DOB on-line systems (BIS, DOB Now and E-filing)
• Understanding of DOB project filing techniques, including HUB filings in order to determine permit and signoff requirements
• Ability to effectively work with clients
• Ability to communicate problems with staff if they occur
• Experience with the Microsoft Office Suite
• Ability to handle multiple projects simultaneously
• Coordinate and track the progress of the tasks with the Project Manager.

Preference will be given to candidates possessing Filing Representative registration. Candidate must possess strong interpersonal, communication and writing skills and must have keen problem-solving skills. Ideally, we seek someone who has the desire and drives to become a long-term, trusted member of our team. Compensation is based upon experience.

To be considered you must provide the following:

1.) a cover letter, 2.) your resume; 3.) your salary expectation or history.

Our office is conveniently located in Queens Village.

We look forward to hearing from you.

Keywords: expediter, expeditor, DOB, D.O.B., DOT, D.O.T., Department of Buildings, Department of Transportation, Construction, Architect, Engineer, Consultant, Construction Consultant, Code, Zoning    "
Architectural Draftsperson,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-draftsperson/6996828210.html,Midtown West,salary commensurate with experience,full-time,"
        
New York Office seeks a motivated and talented Architectural Drafter.

Responsibilities:
•	Supports team with all phases of project development
•	Stays current with graphic standards and building construction methods
•	Researches construction materials and systems
•	Solves problems with guidance from supervisors
•	Surveys and documents existing conditions in the field

Requirements:
•	BA Arch or BS Arch degree 
•	AutoCAD required (basic test at interview) REVIT a plus
•	Experience working in Architects office
•	Ability to work with minimal supervision

Compensation and Benefits:
•	We offer excellent benefits package
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Salary commensurate with level of experience
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational programs. 
•	Creative and innovative work environment

Interested candidates should forward their cover letter and resume 
Please include ""Architectural Drafter "" in the subject. No phone calls, please.
 
Please submit resume and cover letter
    "
NYC DOB Expediters Seeking Class 2 Filing Rep,https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-expediters-seeking/6996869243.html,All Boroughs,Salary Based on Experience,full-time,"
        
We are a Brooklyn based expediting company seeking an experienced full-time NYC Expediter/Project Manager for work in the five boroughs of New York City.

We are explicitly looking for someone that already has experience with the NYC Department of Buildings and possesses a valid Class 2 Filing Representative License. 

Responsibilities will include the following:

Preparation of NB, Alteration Type I and II applications, filing of applications, acquiring work permits, meeting with examiners for approval, removing violations with DOB/ECB and FDNY, attending C of O inspections, scheduling and attending violation removal inspections, ECB hearings, meetings with Deputy Borough Commissioners, Chief Plan's examiners, meetings with developers, property managers and homeowners. Constant updates to clients by sending detailed emails, occasional creation of spreadsheets, the creation of reports to be sent to clients, tracking and coordination of all work. 

Candidates Qualifications:

- Ability to communicate with clients
- Excellent writing skills
- The ability to speak clear
- Strong organization skills
- Be fluent in English 
- Punctuality is a must
- Be able to work with a team

Qualified individuals should:

Submit PDF resumes (not to exceed 5 MB) 
Provide salary requirements in the body of your cover letter. *Applications without salary requirements will not be considered.

We are ready to hire you today if you qualify and have the experience we are looking for. 

**** If you do not possess a Class 2 Filing Rep Status, have knowledge of required DOB/DEP/Landmarks and FDNY forms, and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

We look forward to hearing from you. 

Thank you.    "
Project Coordinator,https://newyork.craigslist.org/wch/egr/d/new-rochelle-project-coordinator/6997276191.html,New Rochelle,Commensurate with experience,full-time,"
        
Electrical contractor is looking for a well spoken, organized individual to coordinate multiple service teams.

Responsibilities Include: 
Set-up daily work schedule
Provide support to field technicians
Maintain & Monitor project progress
Coordinate material for projects
Maintain file of ongoing projects

Qualifications:
High School Graduate - GED
Effective time management skills
Computer 
Ability to manage technicians
Ability to prioritize & adapt quickly to situations

Benefits Include:
Salary commensurate with experience
Medical Insurance after probation period
IRA/401K retirement plan after probation period, with company matching funds
2 weeks paid vacation after (1) year, 3 weeks after (5) years
Paid Holidays

To be considered, send a resume or letter explaining your experience & background, include personal contact information - telephone number & email address.
    "
Land surveyors needed,https://newyork.craigslist.org/lgi/egr/d/albertson-land-surveyors-needed/6997382010.html,NYC/Long Island,salary adequate to education and experience,full-time,"
        
Land Surveying firm seeking experienced party chiefs, instrument person, rod person. We can provide training for candidates with some or none experience under condition they have education in engineering field.
Salary adequate to knowledge, experience and education. We offer paid Holidays, sick days, annual bonus.
Work generally in 5 Boroughs of NYC, Nassau and Suffolk County, Westchester County.
We provide equipment and vehicles. Full time job (40 hours/week) with possibility of overtime.
Please call Arek at 917-992-8093.    "
